store_id,store_name
1,STORE_NAME_1
2,STORE_NAME_2
3,STORE_NAME_3
4,STORE_NAME_4
5,STORE_NAME_5
6,STORE_NAME_6
7,STORE_NAME_7
8,STORE_NAME_8
9,STORE_NAME_9
10,STORE_NAME_10
11,STORE_NAME_11
12,STORE_NAME_12
13,STORE_NAME_13
14,STORE_NAME_14
15,STORE_NAME_15
16,STORE_NAME_16
17,STORE_NAME_17
18,STORE_NAME_18
19,STORE_NAME_19
20,STORE_NAME_20
21,STORE_NAME_21
22,STORE_NAME_22
23,STORE_NAME_23
24,STORE_NAME_24
25,STORE_NAME_25
26,STORE_NAME_26
27,STORE_NAME_27
28,STORE_NAME_28
29,STORE_NAME_29
30,STORE_NAME_30
31,STORE_NAME_31
32,STORE_NAME_32
33,STORE_NAME_33
34,STORE_NAME_34
35,STORE_NAME_35
36,STORE_NAME_36
37,STORE_NAME_37
38,STORE_NAME_38
39,STORE_NAME_39
40,STORE_NAME_40
41,STORE_NAME_41
42,STORE_NAME_42
43,STORE_NAME_43
44,STORE_NAME_44
45,STORE_NAME_45
46,STORE_NAME_46
47,STORE_NAME_47
48,STORE_NAME_48
49,STORE_NAME_49
50,STORE_NAME_50
51,STORE_NAME_51
52,STORE_NAME_52
53,STORE_NAME_53
54,STORE_NAME_54
55,STORE_NAME_55
56,STORE_NAME_56
57,STORE_NAME_57
58,STORE_NAME_58
59,STORE_NAME_59
60,STORE_NAME_60
61,STORE_NAME_61
62,STORE_NAME_62
63,STORE_NAME_63
64,STORE_NAME_64
65,STORE_NAME_65
66,STORE_NAME_66
67,STORE_NAME_67
68,STORE_NAME_68
69,STORE_NAME_69
70,STORE_NAME_70
71,STORE_NAME_71
72,STORE_NAME_72
73,STORE_NAME_73
74,STORE_NAME_74
75,STORE_NAME_75
76,STORE_NAME_76
77,STORE_NAME_77
78,STORE_NAME_78
79,STORE_NAME_79
80,STORE_NAME_80
81,STORE_NAME_81
82,STORE_NAME_82
83,STORE_NAME_83
84,STORE_NAME_84
85,STORE_NAME_85
86,STORE_NAME_86
87,STORE_NAME_87
88,STORE_NAME_88
89,STORE_NAME_89
90,STORE_NAME_90
91,STORE_NAME_91
92,STORE_NAME_92
93,STORE_NAME_93
94,STORE_NAME_94
95,STORE_NAME_95
96,STORE_NAME_96
97,STORE_NAME_97
98,STORE_NAME_98
99,STORE_NAME_99
100,STORE_NAME_100
